gene_id	gene_biotype	gene_name
ENSMUSG00000051951	protein_coding	Xkr4
ENSMUSG00000089699	antisense	Gm1992
ENSMUSG00000102343	lincRNA	Gm37381
ENSMUSG00000025900	protein_coding	Rp1
ENSMUSG00000025902	protein_coding	Sox17
ENSMUSG00000104328	lincRNA	Gm37323
ENSMUSG00000033845	protein_coding	Mrpl15
ENSMUSG00000025903	protein_coding	Lypla1
ENSMUSG00000104217	protein_coding	Gm37988
ENSMUSG00000033813	protein_coding	Tcea1
ENSMUSG00000002459	protein_coding	Rgs20
ENSMUSG00000085623	antisense	Gm16041
ENSMUSG00000033793	protein_coding	Atp6v1h
ENSMUSG00000025905	protein_coding	Oprk1
ENSMUSG00000033774	protein_coding	Npbwr1
ENSMUSG00000025907	protein_coding	Rb1cc1
ENSMUSG00000090031	antisense	4732440D04Rik
ENSMUSG00000087247	protein_coding	Alkal1
ENSMUSG00000033740	protein_coding	St18
ENSMUSG00000051285	protein_coding	Pcmtd1
ENSMUSG00000097797	lincRNA	Gm26901
ENSMUSG00000103067	lincRNA	Gm30414
ENSMUSG00000025909	protein_coding	Sntg1
ENSMUSG00000061024	protein_coding	Rrs1
ENSMUSG00000025911	protein_coding	Adhfe1
ENSMUSG00000067879	protein_coding	3110035E14Rik
ENSMUSG00000099827	lincRNA	Gm29520
ENSMUSG00000025912	protein_coding	Mybl1
ENSMUSG00000045210	protein_coding	Vcpip1
ENSMUSG00000097893	antisense	1700034P13Rik
ENSMUSG00000025915	protein_coding	Sgk3
ENSMUSG00000046101	protein_coding	Mcmdc2
ENSMUSG00000098234	lincRNA	Snhg6
ENSMUSG00000099032	protein_coding	Tcf24
ENSMUSG00000025916	protein_coding	Ppp1r42
ENSMUSG00000087199	antisense	Gm15818
ENSMUSG00000025917	protein_coding	Cops5
ENSMUSG00000056763	protein_coding	Cspp1
ENSMUSG00000067851	protein_coding	Arfgef1
ENSMUSG00000042501	protein_coding	Cpa6
ENSMUSG00000048960	protein_coding	Prex2
ENSMUSG00000057715	protein_coding	A830018L16Rik
ENSMUSG00000097171	lincRNA	Gm17644
ENSMUSG00000101314	lincRNA	Gm29663
ENSMUSG00000016918	protein_coding	Sulf1
ENSMUSG00000025938	protein_coding	Slco5a1
ENSMUSG00000099498	lincRNA	Gm29283
ENSMUSG00000042414	protein_coding	Prdm14
ENSMUSG00000005886	protein_coding	Ncoa2
ENSMUSG00000101476	antisense	Gm29570
ENSMUSG00000025935	protein_coding	Tram1
